Designator,Mid X,Mid Y,Rotation,Layer
C1,94.0,-88.775,270.0,top
C10,52.5,-67.25,270.0,top
C11,55.0,-67.25,270.0,top
C12,47.275,-56.5,0.0,bottom
C13,54.5,-57.5,180.0,bottom
C14,55.5,-94.6,180.0,top
C15,66.4,-68.175,270.0,top
C16,68.0,-68.2,270.0,top
C17,69.6,-68.2,270.0,top
C18,73.0,-68.2,270.0,top
C19,74.6,-68.225,270.0,top
C2,92.5,-89.775,270.0,top
C20,76.2,-68.2,270.0,top
C21,72.5,-77.55,270.0,bottom
C22,64.85,-75.6,0.0,bottom
C23,80.2,-68.225,270.0,top
C24,64.85,-77.6,0.0,bottom
C25,60.5,-72.0,90.0,bottom
C26,66.5,-72.975,90.0,bottom
C27,71.4,-68.175,270.0,top
C28,89.225,-80.5,180.0,bottom
C29,89.2,-75.3,0.0,bottom
C3,85.5,-97.0,90.0,top
C30,89.2,-69.7,180.0,bottom
C31,89.2,-64.2,0.0,bottom
C4,88.375,-97.3,180.0,bottom
C5,89.7,-90.7,0.0,bottom
C6,56.45,-74.9,180.0,bottom
C7,56.45,-77.0,0.0,bottom
C8,54.5,-56.0,180.0,bottom
C9,54.5,-54.5,180.0,bottom
D2,69.8,-73.5,90.0,bottom
D3,72.5,-73.5,270.0,bottom
D4,75.0,-73.5,270.0,bottom
J1,49.175,-76.02,270.0,top
J2,90.6,-53.2,90.0,top
J3,91.5,-69.325,180.0,top
J4,63.375,-95.95,180.0,top
J5,91.5,-74.825,180.0,top
J6,91.5,-80.2,180.0,top
J7,91.5,-63.825,180.0,top
J9,77.0,-61.5,180.0,top
L1,68.4,-78.6,180.0,bottom
Q1,78.0,-75.15,0.0,bottom
R10,53.75,-62.0,0.0,top
R11,78.175,-72.6,0.0,bottom
R13,80.8,-76.7125,270.0,bottom
R14,66.4,-59.425,270.0,top
R15,67.2,-55.2,90.0,top
R5,49.6,-74.89,0.0,bottom
R6,49.575,-76.6,0.0,bottom
U1,58.18,-52.64,0.0,top
U2,79.2,-91.45,180.0,top
U3,91.1,-86.725,180.0,top
U4,89.65,-93.5625,270.0,bottom
U6,56.4,-76.5375,0.0,top
U7,50.8625,-56.5,0.0,bottom
U8,63.5,-72.75,0.0,bottom
Y1,53.76,-64.0,0.0,top
